NUMERO;OPERADOR
928000179;"SIN OPERADOR"
928000180;"SIN OPERADOR"
928000181;"SIN OPERADOR"
928000182;"SIN OPERADOR"
928000183;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000184;"SIN OPERADOR"
928000185;"SIN OPERADOR"
928000186;"SIN OPERADOR"
928000187;"SIN OPERADOR"
928000188;"SIN OPERADOR"
928000189;"SIN OPERADOR"
928000190;"SIN OPERADOR"
928000191;"SIN OPERADOR"
928000192;"SIN OPERADOR"
928000193;"SIN OPERADOR"
928000194;"SIN OPERADOR"
928000195;"SIN OPERADOR"
928000196;"SIN OPERADOR"
928000197;"SIN OPERADOR"
928000198;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000199;"SIN OPERADOR"
928000200;"SIN OPERADOR"
928000201;"SIN OPERADOR"
928000202;"SIN OPERADOR"
928000203;"SIN OPERADOR"
928000204;"SIN OPERADOR"
928000205;"SIN OPERADOR"
928000206;"SIN OPERADOR"
928000207;"SIN OPERADOR"
928000208;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000209;"SIN OPERADOR"
928000210;"SIN OPERADOR"
928000211;"SIN OPERADOR"
928000212;"SIN OPERADOR"
928000213;"SIN OPERADOR"
928000214;"SIN OPERADOR"
928000215;"SIN OPERADOR"
928000216;"SIN OPERADOR"
928000217;"SIN OPERADOR"
928000218;"SIN OPERADOR"
928000219;"SIN OPERADOR"
928000220;"SIN OPERADOR"
928000221;"SIN OPERADOR"
928000222;"SIN OPERADOR"
928000223;"SIN OPERADOR"
928000224;"SIN OPERADOR"
928000225;"SIN OPERADOR"
928000226;"SIN OPERADOR"
928000227;"SIN OPERADOR"
928000228;"SIN OPERADOR"
928000229;"SIN OPERADOR"
928000230;"SIN OPERADOR"
928000231;"SIN OPERADOR"
928000232;"SIN OPERADOR"
928000233;"SIN OPERADOR"
928000234;"SIN OPERADOR"
928000235;"SIN OPERADOR"
928000236;"SIN OPERADOR"
928000237;"SIN OPERADOR"
928000238;"SIN OPERADOR"
928000239;"SIN OPERADOR"
928000240;"SIN OPERADOR"
928000241;"SIN OPERADOR"
928000242;"SIN OPERADOR"
928000243;"SIN OPERADOR"
928000244;"SIN OPERADOR"
928000245;"SIN OPERADOR"
928000246;"SIN OPERADOR"
928000247;"SIN OPERADOR"
928000248;"SIN OPERADOR"
928000249;"SIN OPERADOR"
928000250;"SIN OPERADOR"
928000251;"SIN OPERADOR"
928000252;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000253;"SIN OPERADOR"
928000254;"SIN OPERADOR"
928000255;"SIN OPERADOR"
928000256;"SIN OPERADOR"
928000257;"SIN OPERADOR"
928000258;"SIN OPERADOR"
928000259;"SIN OPERADOR"
928000260;"SIN OPERADOR"
928000261;"SIN OPERADOR"
928000262;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000263;"SIN OPERADOR"
928000264;"SIN OPERADOR"
928000265;"SIN OPERADOR"
928000266;"SIN OPERADOR"
928000267;"SIN OPERADOR"
928000268;"SIN OPERADOR"
928000269;"SIN OPERADOR"
928000270;"SIN OPERADOR"
928000271;"SIN OPERADOR"
928000272;"SIN OPERADOR"
928000273;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000274;"SIN OPERADOR"
928000275;"SIN OPERADOR"
928000276;"SIN OPERADOR"
928000277;"SIN OPERADOR"
928000278;"SIN OPERADOR"
928000279;"SIN OPERADOR"
928000280;"SIN OPERADOR"
928000281;"SIN OPERADOR"
928000282;"SIN OPERADOR"
928000283;"SIN OPERADOR"
928000284;"SIN OPERADOR"
928000285;"SIN OPERADOR"
928000286;"SIN OPERADOR"
928000287;"SIN OPERADOR"
928000288;"SIN OPERADOR"
928000289;"SIN OPERADOR"
928000290;"SIN OPERADOR"
928000291;"SIN OPERADOR"
928000292;"SIN OPERADOR"
928000293;"SIN OPERADOR"
928000294;"SIN OPERADOR"
928000295;"SIN OPERADOR"
928000296;"SIN OPERADOR"
928000297;"SIN OPERADOR"
928000298;"SIN OPERADOR"
928000299;"SIN OPERADOR"
928000300;"SIN OPERADOR"
928000301;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000302;"SIN OPERADOR"
928000303;"SIN OPERADOR"
928000304;"SIN OPERADOR"
928000305;"SIN OPERADOR"
928000306;"SIN OPERADOR"
928000307;"SIN OPERADOR"
928000308;"SIN OPERADOR"
928000309;"SIN OPERADOR"
928000310;"SIN OPERADOR"
928000311;"SIN OPERADOR"
928000312;"SIN OPERADOR"
928000313;"SIN OPERADOR"
928000314;"SIN OPERADOR"
928000315;"SIN OPERADOR"
928000316;"SIN OPERADOR"
928000317;"SIN OPERADOR"
928000318;"SIN OPERADOR"
928000319;"SIN OPERADOR"
928000320;"SIN OPERADOR"
928000321;"SIN OPERADOR"
928000322;"SIN OPERADOR"
928000323;"SIN OPERADOR"
928000324;"SIN OPERADOR"
928000325;"SIN OPERADOR"
928000326;"SIN OPERADOR"
928000327;"SIN OPERADOR"
928000328;"SIN OPERADOR"
928000329;"SIN OPERADOR"
